FROM,ASID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,SECTION,XSP,STCHAIN,ENDCHAIN,ASSET_LEN,_DBFOCODE,_SOURCE,CREATEDATE,START_DATE,WKT
A19_Footway_0,140,2600000140,ASPHALT,128.118038988,4,433642.528937346,564246.745304483,433621.718403127,564373.12912749,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/6,L1,67.68,196.24,128.56,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433642.528937346 564246.745304483,433621.718403127 564373.12912749)"
A19_Footway_0,141,2600000141,ASPHALT,65.915405818,1.5,433654.187453743,564181.873873737,433642.528937346,564246.745304483,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/6,L2,1.71,67.68,65.97,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433654.187453743 564181.873873737,433642.528937346 564246.745304483)"
A19_Footway_0,142,2600000142,ASPHALT,13.913150419,1,433938.905903686,562847.435852647,433925.969402818,562842.317317813,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/50,L4,57.58,62.4,4.82,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433938.905903686 562847.435852647,433925.969402818 562842.317317813)"
A19_Footway_0,143,2600000143,ASPHALT,157.871675798,1.5,433939.062559847,562786.683242901,433930.347530263,562942.438658377,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/50,L2,1.97,157.85,155.88,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433939.062559847 562786.683242901,433930.347530263 562942.438658377)"
A19_Footway_0,144,2600000144,ASPHALT,9.109450789,1.5,433795.095547961,560996.995535678,433800.842355548,561004.063512491,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/70,L1,0,9.38,9.38,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433795.095547961 560996.995535678,433800.842355548 561004.063512491)"
A19_Footway_0,145,2600000145,ASPHALT,11.414413332,1.5,443299.746388415,536392.058625606,443310.003244424,536397.067191918,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,R1,1616.08,1616.24,0.160000000000082,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443299.746388415 536392.058625606,443310.003244424 536397.067191918)"
A19_Footway_0,146,2600000146,CONCRETE,8.788264961,1.5,444910.938513364,532752.370475501,444919.562847276,532754.059991882,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/265,R1,30.35,30.76,0.41,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(444910.938513364 532752.370475501,444919.562847276 532754.059991882)"
A19_Footway_0,147,2600000147,ASPHALT,25.815959438,1.5,443288.129097323,536386.750145142,443267.969922931,536397.317120377,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,L1,1616.74,1635.46,18.72,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443288.129097323 536386.750145142,443267.969922931 536397.317120377)"
A19_Footway_0,148,2600000148,ASPHALT,42.174994875,1.5,443513.3429413,535877.815826076,443493.249727396,535914.875217935,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,L2,1054.36,1096.95,42.5900000000002,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443513.3429413 535877.815826076,443493.249727396 535914.875217935)"
A19_Footway_0,149,2600000149,ASPHALT,24.098470425,1.5,443992.315030785,535059.250138066,443987.722531751,535082.813393155,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,L1,88.89,113.51,24.62,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443992.315030785 535059.250138066,443987.722531751 535082.813393155)"
A19_Footway_0,150,2600000150,ASPHALT,11.6335004,1.5,443994.030003494,535044.874253121,443992.784999268,535056.44094219,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,L1,74.33,86.01,11.68,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443994.030003494 535044.874253121,443992.784999268 535056.44094219)"
A19_Footway_0,151,2600000151,ASPHALT,6.139370112,1.5,443995.654280531,535034.997080432,443994.722588626,535041.06534341,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,L1,63.7,70.42,6.72,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443995.654280531 535034.997080432,443994.722588626 535041.06534341)"
A19_Footway_0,152,2600000152,ASPHALT,61.25940183,1.5,443999.875751814,534972.814879902,443996.99822549,535031.937956097,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/120,L2,0.98,60.44,59.46,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443999.875751814 534972.814879902,443996.99822549 535031.937956097)"
A19_Footway_0,153,2600000153,ASPHALT,41.554776613,1.7,444899.123340806,532750.061136542,444887.530784898,532789.939721416,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/265,L2,31.32,72.9,41.58,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(444899.123340806 532750.061136542,444887.530784898 532789.939721416)"
A19_Footway_0,154,2600000154,CONCRETE,41.26300641,2.5,445152.906321498,530255.815107041,445167.590775319,530294.374069653,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/274,L1,910.87,952.08,41.21,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445152.906321498 530255.815107041,445167.590775319 530294.374069653)"
